election_cycle,race_type,name_incumbent,name_challenger,name_third,us_state_fips,tipping,vpi,win_state_incumbent,win_state_challenger,win_state_third,win_ec_if_win_state_incumbent,win_ec_if_win_state_challenger,win_state_if_win_ec_incumbent,win_state_if_win_ec_challenger,voteshare_incumbent,voteshare_challenger,voteshare_third,voteshare_other,voteshare_lo_incumbent,voteshare_lo_challenger,voteshare_lo_third,voteshare_lo_other,voteshare_hi_incumbent,voteshare_hi_challenger,voteshare_hi_third,voteshare_hi_other,margin,margin_lo,margin_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,46,0.000175,0.0644611,0.96595,0.03405,,0.2950722,0.9728341,0.9969395,0.046729,59.69984,38.79244,,1.507714,52.69106,31.90504,,0.8023137,66.6322,45.7968,,2.305076,20.9074,6.900743,34.70078,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,45,0.00115,0.0740829,0.877075,0.122925,,0.3249722,0.9928818,0.9969395,0.1721742,53.95235,45.15149,,0.8961568,49.06339,40.3129,,0.4832965,58.80805,50.02746,,1.358592,8.800861,-0.9607067,18.49794,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,44,0.0004125,0.1241735,0.0143,0.9857,,0.9318182,0.7181698,0.0466072,0.9986246,37.64003,60.90331,,1.456663,31.21125,54.3749,,0.7758697,44.14946,67.38847,,2.225717,-23.26328,-36.1465,-10.22775,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,42,0.2984,6.763968,0.3051,0.6949,,0.8515241,0.9594906,0.9087093,0.9405748,47.83646,51.42743,,0.7361064,43.22375,46.80266,,0.3989085,52.47559,56.03974,,1.112388,-3.590965,-12.82714,5.663568,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,54,7.5e-05,0.0148146,0.99255,0.00745,,0.2877689,0.9630873,0.9990381,0.0101217,66.26678,31.89017,,1.843052,58.73647,24.55942,,0.9753445,73.6433,39.36124,,2.827303,34.37661,19.38893,49.04733,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,40,7.5e-05,0.0067654,0.99225,0.00775,,0.2879063,0.9709678,0.999213,0.0106154,63.1629,35.63932,,1.19778,57.05071,29.6148,,0.641255,69.18841,41.73099,,1.824338,27.52357,15.3378,39.53622,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,39,0.021125,0.5320083,0.609275,0.390725,,0.4678511,0.9976966,0.9970269,0.5499207,50.51441,48.43951,,1.046079,45.49553,43.45184,,0.5619956,55.51869,53.45245,,1.589902,2.074897,-7.941496,12.04392,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,38,0.0,0.0,0.988225,0.011775,,0.2891295,0.985138,0.9993879,0.016364,60.93707,36.37495,,2.687991,54.63512,30.22808,,1.406932,67.16756,42.6275,,4.151046,24.56212,12.11989,36.86029,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,37,0.06035,1.715885,0.47965,0.52035,,0.5702074,0.9747766,0.9566282,0.7155352,49.41245,49.82247,,0.7650839,44.58432,44.99366,,0.4142188,54.22427,54.64331,,1.156876,-0.4100185,-10.05849,9.218149,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,36,0.00055,0.0100784,0.00195,0.99805,,0.9358974,0.7101347,0.0063834,0.9998237,36.66618,62.26118,,1.072633,31.68572,57.23279,,0.5758935,41.67254,67.26482,,1.630913,-25.59501,-35.57072,-15.5829,1,2020-09-06,21:06:02  6 Sep 2020,40000
