election_cycle,race_type,name_incumbent,name_challenger,name_third,indicator_name,indicator_category,zscore_current,zscore_projected,zscore_projected_lo,zscore_projected_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,Average of all six indicators,6,-0.467624,-0.148342,0.3495684,-0.6462525,1,2020-09-07,21:01:02  7 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.9536672,0.8363429,1.545893,0.1267923,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.193516,-0.4839659,-1.903067,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.461874,-0.7523237,-2.171425,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.528285,-1.818734,-3.237836,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7509673,1.460518,0.0414167,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.738918,3.448469,2.029368,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.467624,-0.1429079,0.3588201,-0.6446359,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.9536672,0.8341427,1.549092,0.1191933,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.180282,-0.4653321,-1.895231,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.451699,-0.7367496,-2.166648,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.515542,-1.800592,-3.230491,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7527593,1.467709,0.0378098,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.735778,3.450727,2.020828,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.467624,-0.1374738,0.3680719,-0.6430194,1,2020-09-05,22:17:02  5 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.9536672,0.8319426,1.550987,0.112898,1,2020-09-04,22:34:02  4 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.167046,-0.4480018,-1.886091,1,2020-09-04,22:34:02  4 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.441524,-0.7224793,-2.160568,1,2020-09-04,22:34:02  4 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.948104,-3.308164,-2.589119,-4.027209,1,2020-09-04,22:34:02  4 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7545512,1.473596,0.0355066,1,2020-09-04,22:34:02  4 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.732637,3.451682,2.013592,1,2020-09-04,22:34:02  4 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.5822374,-0.2662673,0.242174,-0.7747086,1,2020-09-04,22:34:02  4 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,1.015404,0.8896283,1.614213,0.1650435,1,2020-09-03,21:55:03  3 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.14414,-0.4195554,-1.868725,1,2020-09-03,21:55:03  3 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.420358,-0.6957733,-2.144943,1,2020-09-03,21:55:03  3 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.932809,-3.275621,-2.551036,-4.000206,1,2020-09-03,21:55:03  3 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7563432,1.480928,0.0317585,1,2020-09-03,21:55:03  3 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.73082,3.455405,2.006236,1,2020-09-03,21:55:03  3 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.5693988,-0.2438879,0.2684709,-0.7562466,1,2020-09-03,21:55:03  3 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,1.269996,1.131295,1.86096,0.4016309,1,2020-09-02,21:52:26  2 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.090404,-0.3607396,-1.820068,1,2020-09-02,21:52:26  2 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.363762,-0.6340973,-2.093426,1,2020-09-02,21:52:26  2 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.932809,-3.238501,-2.508837,-3.968165,1,2020-09-02,21:52:26  2 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7581874,1.487852,0.0285231,1,2020-09-02,21:52:26  2 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.732169,3.461833,2.002505,1,2020-09-02,21:52:26  2 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.5269667,-0.1785025,0.3374481,-0.6944531,1,2020-09-02,21:52:26  2 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,1.16377,1.028271,1.763361,0.2931808,1,2020-09-01,19:06:02  1 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.093513,-0.3584228,-1.828603,1,2020-09-01,19:06:02  1 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.371854,-0.6367637,-2.106944,1,2020-09-01,19:06:02  1 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.932809,-3.236248,-2.501158,-3.971338,1,2020-09-01,19:06:02  1 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7600316,1.495121,0.0249417,1,2020-09-01,19:06:02  1 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.725701,3.460791,1.990611,1,2020-09-01,19:06:02  1 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.5446709,-0.1979351,0.3218519,-0.7177222,1,2020-09-01,19:06:02  1 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,1.113552,0.9788297,1.719569,0.2380899,1,2020-08-31,19:00:04 31 Aug 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.087967,-0.3472273,-1.828707,1,2020-08-31,19:00:04 31 Aug 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.370131,-0.6293908,-2.11087,1,2020-08-31,19:00:04 31 Aug 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.932809,-3.228709,-2.487969,-3.969449,1,2020-08-31,19:00:04 31 Aug 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7618757,1.502615,0.021136,1,2020-08-31,19:00:04 31 Aug 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.72041,3.46115,1.97967,1,2020-08-31,19:00:04 31 Aug 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.5530407,-0.2042819,0.3195002,-0.7280639,1,2020-08-31,19:00:04 31 Aug 2020,40000
2020,President,Trump,Biden,,S&P 500,0,1.134259,0.996945,1.7434,0.2504902,1,2020-08-30,20:23:02 30 Aug 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.070984,-0.3245291,-1.817439,1,2020-08-30,20:23:02 30 Aug 2020,40000
