election_cycle,race_type,name_incumbent,name_challenger,name_third,scenario_id,scenario_probability,scenario_description,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,2,0.05005,Recount (1+ decisive states within 0.5 ppt),1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,3,0.127675,Trump wins popular vote,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,4,0.872325,Biden wins popular vote,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0013125,Trump wins popular vote but loses Electoral College,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,6,0.1032625,Biden wins popular vote but loses Electoral College,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,8,0.088875,Trump majority (at least 50 percent of the vote),1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,9,0.82275,Biden majority (at least 50 percent of the vote),1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,10,0.004775,Trump landslide (double-digit popular vote margin),1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,11,0.2992,Biden landslide (double-digit popular vote margin),1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,12,0.0006,Map exactly the same as in 2016,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,13,0.3779,Trump wins at least one state Clinton won in 2016,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,14,0.91625,Biden wins at least one state Trump won in 2016,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,1,0.0053,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,2,0.05145,Recount (1+ decisive states within 0.5 ppt),1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,3,0.134,Trump wins popular vote,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,4,0.866,Biden wins popular vote,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,5,0.001475,Trump wins popular vote but loses Electoral College,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,6,0.106925,Biden wins popular vote but loses Electoral College,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,8,0.09535,Trump majority (at least 50 percent of the vote),1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,9,0.813975,Biden majority (at least 50 percent of the vote),1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,10,0.005125,Trump landslide (double-digit popular vote margin),1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,11,0.2897,Biden landslide (double-digit popular vote margin),1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,12,0.000425,Map exactly the same as in 2016,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,13,0.3876,Trump wins at least one state Clinton won in 2016,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,14,0.9075,Biden wins at least one state Trump won in 2016,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,1,0.0057,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,2,0.052075,Recount (1+ decisive states within 0.5 ppt),1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,3,0.1352,Trump wins popular vote,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,4,0.8648,Biden wins popular vote,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0017,Trump wins popular vote but loses Electoral College,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,6,0.102875,Biden wins popular vote but loses Electoral College,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,8,0.09605,Trump majority (at least 50 percent of the vote),1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,9,0.812575,Biden majority (at least 50 percent of the vote),1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,10,0.005475,Trump landslide (double-digit popular vote margin),1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,11,0.290675,Biden landslide (double-digit popular vote margin),1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,12,0.000525,Map exactly the same as in 2016,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,13,0.383925,Trump wins at least one state Clinton won in 2016,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,14,0.90945,Biden wins at least one state Trump won in 2016,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,1,0.004775,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,2,0.0493,Recount (1+ decisive states within 0.5 ppt),1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,3,0.13375,Trump wins popular vote,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,4,0.86625,Biden wins popular vote,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,5,0.0015125,Trump wins popular vote but loses Electoral College,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,6,0.1078,Biden wins popular vote but loses Electoral College,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,8,0.095675,Trump majority (at least 50 percent of the vote),1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,9,0.814675,Biden majority (at least 50 percent of the vote),1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,10,0.00545,Trump landslide (double-digit popular vote margin),1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,11,0.2988,Biden landslide (double-digit popular vote margin),1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,12,0.000475,Map exactly the same as in 2016,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,13,0.3939,Trump wins at least one state Clinton won in 2016,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,14,0.9086,Biden wins at least one state Trump won in 2016,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,1,0.00485,Electoral College deadlock (No candidate gets 270 electoral votes),1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,2,0.05085,Recount (1+ decisive states within 0.5 ppt),1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,3,0.13615,Trump wins popular vote,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,4,0.86385,Biden wins popular vote,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,5,0.00165,Trump wins popular vote but loses Electoral College,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,6,0.10715,Biden wins popular vote but loses Electoral College,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,8,0.098175,Trump majority (at least 50 percent of the vote),1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,9,0.8137,Biden majority (at least 50 percent of the vote),1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,10,0.0054,Trump landslide (double-digit popular vote margin),1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,11,0.29865,Biden landslide (double-digit popular vote margin),1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,12,0.000625,Map exactly the same as in 2016,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,13,0.393325,Trump wins at least one state Clinton won in 2016,1,2020-09-14,23:33:03 14 Sep 2020,40000
